Question,A1,A2,A3,A4,A5,AE1,AE2,AE3,AE4,AE5,Answer,imgUrl,Subject,Year,Difficulty,Skill,Topic,Unit
3. The activity depicted in Image 2 best illustrates which of the following characteristics of China’s economy before 1450 ?  ,(A) The influence of Confucian labor policies  ,(B) The impact of innovations borrowed from surrounding states  ,(C) The reliance on systems of peasant labor  ,(D) The dependence on trade along the Silk Roads  ,,"(A) Incorrect. While Confucianism was highly influential in China before 1450 and often promoted by the state, it did not influence the economic activity depicted in Image 2, which is more directly linked to the reliance on systems of peasant labor.  ","(B) Incorrect. While China borrowed often from surrounding states, the reliance on systems of peasant labor as depicted in Image 2 was a long-standing practice in imperial China and was not something borrowed from abroad.  ",(C) Correct. The imperial government in China before 1450 relied on systems of peasant labor to accomplish agricultural and other projects such as the activity depicted in Image 2.  ,"(D) Incorrect. While China's economy benefited immensely from trade along the Silk Roads, this did not have a direct impact on the activity depicted in Image 2, which is more directly linked to the reliance on systems of peasant labor.  ",,C,https://i.imgur.com/MVNT2Ta.png,WHAP,2020,3,Skill  5.B: Explain how a historical development or process relates to another historical development or process.  ,Learning Objective  M: Explain the effects of agriculture on social organization in Europe from c. 1200 to c. 1450.  ,1
4. Which of the following best describes how European labor systems before 1450 differed from the Chinese labor system depicted in the two images?  ,(A) European labor systems did not rely as much on women and children. ,(B) European labor systems placed a greater emphasis on plantation cash crops. ,(C) European labor systems were dominated by urban artisans. ,(D) European labor systems were more likely to utilize serfdom.   ,,"(A) Incorrect. Although Image 2 shows Chinese women and children working in the rice fields, European labor systems also featured women and children agricultural laborers. However, the Chinese labor system involved free peasant and artisanal labor, while European labor systems were more likely to involve serfdom.  ","(B) Incorrect. Although European labor systems in the Americans in the period 1450 to 1750 focused on cash crops, and both images do not show Chinese farmers growing cash crops, this was not a feature of European labor systems before 1450. The Chinese labor system involved free peasant and artisanal labor, while European labor systems were more likely to involve serfdom.  ","(C) Incorrect. Although European labor systems allowed certain traders and artisans to acquire wealth in the fifteenth and sixteenth centuries, such traders and artisans did not dominate European labor systems. Also, both the Song and Yuan dynasties also featured powerful and prosperous artisans. The Chinese labor system involved free peasant and artisanal labor, while European labor systems were more likely to depend upon serfdom.  ","(D) Correct. The Chinese labor system involved free peasant and artisanal labor, while European labor systems were more likely to involve serfdom.  ",,D,https://i.imgur.com/MVNT2Ta.png,WHAP,2020,2,Skill  5.B: Explain how a historical development or process relates to another historical development or process.  ,Learning Objective  G: Explain the role of environmental factors in the development of networks of exchange in the period from c. 1200 to c. 1450. | A: Explain how cross-cultural interactions resulted in the diffusion of technology and facilitated changes in patterns of trade and travel from 1450 to 1750.  ,1
"5. Which of the following best explains the continuity in the trade routes between East Africa, the Arabian Peninsula, and India as shown on the maps?  ",(A) Trade along the routes depended on the activities of Chinese merchants.  ,(B) ‘Trade along the routes relied on sailors’ knowledge of the monsoon winds.  ,(C) ‘Trade along the routes depended on silver from the Americas.  ,(D) ‘Trade along the routes relied on sailors’ knowledge of longitude from classical maps.  ,,"(A) Incorrect. Although trade routes through the Indian Ocean were often connected to trade with China, the participation of Chinese merchants in these trade routes was quite limited and does not explain why the routes remained the same across long periods of time. Monsoon winds shape the seasons and trading patterns in most of the Indian Ocean. Therefore, the continuity of the trade routes between East Africa, the Arabian Peninsula, and India in both maps indicate that sailors had learned to travel using monsoon winds.  ","(B) Correct. Monsoon winds shape the seasons and trading patterns in most of the Indian Ocean. Therefore, the continuity of the trade routes between East Africa, the Arabian Peninsula, and India in both maps indicate that sailors had learned to travel using monsoon winds.  ","(C) Incorrect. Although global trade routes from the Americas expanded significantly following the establishment of European trading post empires and silver mines in the Americas, the trade in silver from the Americas was not established until the sixteenth century and therefore not present in Map 1. Monsoon winds shape the seasons and trading patterns in most of the Indian Ocean. Therefore, the continuity of the trade routes between East Africa, the Arabian Peninsula, and India in both maps indicate that sailors had learned to travel using monsoon winds.  ","(D) Incorrect. Although trade routes did often utilize sailors’ knowledge of longitude, this does not explain why trade routes remained the same over long periods of time given advancements in maritime technology. Monsoon winds shape the seasons and trading patterns in most of the Indian Ocean. Therefore, the continuity of the trade routes between East Africa, the Arabian Peninsula, and India in both maps indicate that sailors had learned to travel using monsoon winds.  ",,B,https://i.imgur.com/0pP6hGP.png,WHAP,2020,5,Skill  4.A: Identify and describe a historical context for a specific historical development or process. | A: Explain how cross-cultural interactions resulted in the diffusion of technology and facilitated changes in patterns of trade and travel from 1450 to 1750.  ,Learning Objective  J: Explain the intellectual and cultural effects of the various networks of exchange in Afro-Eurasia from c. 1200 to c. 1450.  ,2
6. The maritime trade connections involving East Africa shown on Map 1 provided a setting for which of the following developments?  ,(A) The emergence of commercial credit through banks  ,(B) The development of the compass  ,(C) The spread of Islam  ,(D) The appearance of social structures privileging men over women  ,,"(A) Incorrect. Although banking practices such as the establishment of commercial credit did increase during this period, the use of commercial banking credit was not unique to maritime trading in East Africa. Islam spread along maritime trading routes in East Africa as merchants from Islamic empires came into contact with local populations.  ","(B) Incorrect. Although the development of the compass did inform trading routes, the compass was originally invented in China and spread throughout much of the Islamic world. Therefore, the invention of the compass was not unique to maritime trading routes in East Africa. Islam spread along maritime trading routes in East Africa as merchants from Islamic empires came into contact with local populations.  ",(C) Correct. Islam spread along maritime trading routes in East Africa as merchants from Islamic empires came into contact with local populations.  ,"(D) Incorrect. Although patriarchal social structures often expanded during the period 1250-1450, they were not unique to East Africa or maritime trading routes in the region.  Islam spread along maritime trading routes in East Africa as merchants from Islamic empires came into contact with local populations.  ",,C,https://i.imgur.com/0pP6hGP.png,WHAP,2020,2,"Skill 1.B: Explain a historical concept, development, or process.  ",Learning Objective  A: Explain how cross-cultural interactions resulted in the diffusion of technology and facilitated changes in patterns of trade and travel from 1450 to 1750.  ,2
7. The expansion of trade routes along the coast of Africa as shown on Map 2 was most directly facilitated by which of the following?  ,(A) Expanding Chinese influence as a result of maritime voyages under the Ming dynasty  ,(B) Changes in fishing practices in the Indian Ocean  ,(C) Improved ship designs and navigational technologies  ,(D) Commercial decline in Europe as a result of the global cooling of climate known as the Little Ice Age  ,,"(A) Incorrect. Although the Ming dynasty made numerous maritime voyages into the Indian Ocean, including to the East African coast, these voyages did not sail around the cape of Africa nor did they establish long-term trading routes around the continent. Improved ship designs and navigational technologies allowed sailors to navigate around Africa, expanding trading routes.  ","(B) Incorrect. Although fishing remained an important way of making a living in the Indian Ocean, fishing was not an important factor in expanding long-distance trade routes. Long-distance trade in this period continued to involve primarily luxury or high-value goods. Improved ship designs and navigational technologies allowed sailors to navigate around Africa, expanding trading routes.  ","(C) Correct. Improved ship designs and navigational technologies brought on by European innovations to Arabic technologies allowed sailors to navigate around Africa, expanding trade routes.  ","(D) Incorrect. Although the Little Ice Age did create temperature changes in Europe and this may have affected European commercial production, this would not explain why trading routes expanded around Africa. Improved ship designs and navigational technologies allowed sailors to navigate around Africa, expanding trading routes.  ",,C,https://i.imgur.com/0pP6hGP.png,WHAP,2020,5,Skill 3.B: Identify the evidence used in a source to support an argument.  ,Learning Objective  I: Explain the continuities and changes in networks of exchange from 1450 to 1750.  ,4
8. Which of the following aspects of Map 2 can best be used to support the claim that a truly global trading system developed during the period from 1450 to 1750 ?  ,(A) ‘Trade routes extending east and west from Eurasia toward the Americas  ,(B) Extensive overland trade routes in Eurasia  ,"(C) The existence of Mediterranean trade routes connecting Europe, Asia and Africa  ",(D) The continued presence of multiple long-distance trade routes to India    ,,"(A) Correct. Map 2 depicts trades routes from both the east and west of Eurasia extending toward the Americas, connecting Eurasia to the American continents and indicating the existence of global trade routes.  ","(B) Incorrect. Although Map 2 does show extensive overland trade routes that extend through Africa and Eurasia, these trade routes do not connect to the Americas in any way and therefore do not indicate the creation of a global trading system. Map 2 depicts trades routes from both the east and west of Eurasia extending toward the Americas, connecting Eurasia to the American continents and indicating the existence of global trade routes.  ","(C) Incorrect. Although Mediterranean trade routes were crucial to cross-cultural contact through much of world history and these trading routes are shown on both Map 1 and Map 2, these trading routes are not linked directly to the Americas. Map 2 depicts trades routes from both the east and west of Eurasia extending toward the Americas, connecting Eurasia to the American continents and indicating the existence of global trade routes.  ","(D) Incorrect. Although the two maps show that India had long- distance trade connections with other regions continuously throughout the period circa 1250 to 1750, these trade connections were mostly through the overland Silk Roads and the maritime Indian Ocean trade network. While extensive, these networks were not truly global in reach because they did not include the Americas. The globalization of the world’s trade system in the period 1450-1750 is more clearly indicated on Map 2 by the appearance of trade networks linking Afro- Eurasia to the Americas.  ",,A,https://i.imgur.com/0pP6hGP.png,WHAP,2020,4,Skill 3.B: Identify the evidence used in a source to support an argument.  ,Learning Objective  A: Explain how and why various land-based empires developed and expanded from 1450 to 1750.  ,4
"9. Taken together, the two images best support which of the following claims regarding developments in the period from 1450 to 1750 ? ",(A) European military technology was inferior  to Asian military technology.  ,(B) Rulers served as military commanders and typically led armies into battle themselves.  ,(C) Gunpowder technology facilitated the expansion of land-based empires.  ,(D) Religious divisions were not a significant source of military conflict.  ,,(A) Incorrect. European states during this period also used cannons and other modern military technology. The images do not demonstrate European use of cannons. Both images portray how the Ottoman and Mughal armies used cannons very effectively in the process of imperial expansion.  ,"(B) Incorrect. While rulers often did lead or accompany their armies, this was becoming less common and was not an expectation. The leadership of armies by rulers is not clearly shown in the images. Both images portray how the Ottoman and Mughal armies used cannons very effectively in the process of imperial expansion.  ",(C) Correct. Both images portray how the Ottoman and Mughal armies used cannons very effectively in the process of imperial expansion. Cannons were critical to the Ottoman capture of Constantinople.  ,"(D) Incorrect. Although the military conflicts depicted in the two images likely had many different causes, Image 1 shows a conflict between a Muslim state (the Ottoman Empire) and one of its Christian rivals (Venice). Therefore, the two images together would not be best used to support the claim that religious divisions were not a significant source of military conflict. On the other hand, both images portray the use of cannons in military conflicts cannons very effectively in the process of imperial expansion.  ",,C,https://i.imgur.com/0pP6hGP.png,WHAP,2020,4,Skill 5 .A: Identify patterns among or connections between historical developments and processes ,Learning Objective A: Explain how and why various land-based empires developed and expanded from 1450 to 1750 ,3
10. The two dynasties whose expansions are illustrated by the images shared which of the following?  ,(A) Their rulers claimed to be descended from the Mongol ruling family of Chinggis Khan  ,(B) Their rulers were recognized as caliphs by most Muslims  ,(C) Their rulers were descended from Turkic peoples of Central Asian descent  ,(D) Their rulers claimed power by virtue of protecting Dar al-Islam from European invasion   ,,"(A) Incorrect. The ri  Learning Objective  E: Explain the causes and effects of  the rise of Islamic states over time. lers of the Ottoman and Mughal Emr  Unit Ne I a a aa aa not claim to be descended from the Mongol ruling family of Chinggis Khan. Ottoman rulers had no ancestral connection to the family of Chinggis Khan. Rather, both ruling families were Turkic in origin and claimed Central Asian ancestry.  ","(B) Incorrect. The rulers of the Ottoman and Mughal Empires were not recognized as caliphs by most Muslims, though Ottoman rulers claimed this title. A substantial portion of the Muslim world objected to this claim. Both the Ottoman and Mughal Empires portrayed in the images share Turkic origins and claimed Central Asian ancestry.  ",(C) Correct. Both the Ottoman and Mughal Empires portrayed in the images were Turkic in origin and claimed Central Asian ancestry.  ,"(D) Incorrect. Both rulers did not claim power by virtue of protecting Dar al-Islam from European invasion. While Ottoman rulers periodically made such claims, the Mughal ruling family’s claim to power was independent of the threat of European invasion. Rather, both the Ottoman and Mughal Empires portrayed in the images were Turkic in origin and claimed Central Asian ancestry.  ",,C,https://i.imgur.com/pbsjshb.png,WHAP,2020,1,Skill  5.A: Identify patterns among or connections between historical developments and processes.  ,Learning Objective  A: Explain how and why various land-based empires developed and expanded from 1450 to 1750.  ,3
11. Which of the following imperial expansions was most similar to those of the Ottoman and Mughal Empires?  ,(A) The Portuguese Empire in Brazil  ,(B) The Dutch Empire in South Africa and Indonesia  ,(C) The Spanish Empire in the Americas and Asia  ,(D) The Manchu Empire in East Asia  ,,"(A) Incorrect. The Portuguese Empire was built on maritime trade and the use of cannons on ships, which distinguishes it from the Ottomans, Mughals, and Manchus. The Manchus, from the northern frontier of China (Manchuria), succeeded in establishing a large land-based empire through the use of heavy cavalry and gunpowder technology in Eurasia.  ","(B) Incorrect. The Dutch Empire was built on maritime trade and the use of cannons on ships, which distinguishes it from the Ottomans, Mughals, and Manchus. The Manchus, from the northern frontier of China (Manchuria), succeeded in establishing a large land-based empire through the use of heavy cavalry and gunpowder technology in Eurasia.  ","(C) Incorrect. The Spanish Empire was built on maritime trade and established colonies overseas in the Americas, which distinguishes it from the Ottomans, Mughals, and Manchus. The Manchus, from the northern frontier of China (Manchuria), succeeded in establishing a large land-based empire through the use of heavy cavalry and gunpowder technology in Eurasia.  ","(D) Correct. Like the Ottomans and Mughals, the Manchus were seminomadic in origin, from the northern frontier of China (Manchuria), and they succeeded in establishing a large land- based empire through the use of heavy cavalry and gunpowder technology in Eurasia.  ",,D,https://i.imgur.com/pbsjshb.png,WHAP,2020,3,Skill  5.A: Identify patterns among or connections between historical developments and processes.  , Learning Objective  A: Explain how and why various land-based empires developed and expanded from 1450 to 1750. ,4
12. All of the following pieces of additional information regarding the events portrayed in Image 2 are factually accurate. Which would be most useful in evaluating the message that the image was intended to convey?  ,"(A) Emperor Aurangzeb was a strong proponent of Sunni Islam, while the rulers of Golconda were supporters of Shiism.  ","(B) Emperor Aurangzeb overthrew his father in order to become the Mughal emperor, while the ruler of Golconda succeeded his father peacefully.  ",(C) Emperor Aurangzeb ruled over India during a time when it was the largest agricultural and manufacturing economy in the world.  ,(D) Emperor Aurangzeb increased taxes on all non-Muslims in his empire which contributed to unrest in his multi-religious state.     ,,(A) Correct. The image portrays conflict between two rival Muslim states in India. An important part of the conflict resulted from differences between supporters of Sunni Islam in the Mughal Empire and Shia Islam in Golconda.  ,"(B) Incorrect. Although Aurangzeb took power through an armed uprising against his father, the message of the image is not intended to portray Aurangzeb as an illegitimate ruler. The image portrays conflict between two rival Muslim-ruled states in India. An important part of the conflict resulted from differences between supporters of Sunni Islam in the Mughal Empire and Shia Islam in Golconda.  ","(C) Incorrect. Although Aurangzeb did rule over India during a time when it was the largest economy in the world, the image portrays a military conflict between rival Muslim-ruled states. An important part of the conflict resulted from differences between supporters of Sunni Islam in the Mughal Empire and Shi'a Islam in Golconda.  ","(D) Incorrect. Although Aurangzeb taxed all non-Muslims at a higher level than Muslims, which did lead to unrest in the Mughal Empire, the image portrays conflict between two rival Muslim-ruled states. An important part of the conflict resulted from differences between supporters of Sunni Islam in the Mughal Empire and Shia Islam in Golconda.  ",,A,https://i.imgur.com/vCmDQKH.png,WHAP,2020,1,Skill 3.C: Compare the arguments or main ideas of two sources.  ,Learning Objective  F: Explain the continuities and changes in economic systems and labor systems from 1450 to 1750.  ,4
